context,candidates,target_position,target_lemma,pos_tag,gold_subst,gold_subst_weights
"['During', 'the', 'siege', ',', 'George', 'Robertson', 'had', 'appointed', 'Shuja-ul-Mulk', ',', 'who', 'was', 'a', 'bright', 'boy', 'only', '12', 'years', 'old', 'and', 'the', 'youngest', 'surviving', 'son', 'of', 'Aman-ul-Mulk', ',', 'as', 'the', 'ruler', 'of', 'Chitral', '.']","['alight', 'brilliant', 'capable', 'clear', 'clever', 'colourful', 'deep', 'gifted', 'gleam', 'good', 'great', 'hopeful', 'intelligent', 'light', 'luminous', 'motivated', 'optimisitc', 'positive', 'promising', 'sharp', 'shining', 'skilled', 'smart', 'talented', 'vibrant', 'vivid']",13,bright,a,"['intelligent', 'clever', 'smart']","[3.0, 3.0, 1.0]"
"['The', 'actual', 'field', 'is', 'not', 'much', 'different', 'than', 'that', 'of', 'a', '40mm', ',', 'only', 'it', 'is', 'smaller', 'and', 'quite', 'a', 'bit', 'noticeably', 'brighter', ',', 'which', 'is', 'probably', 'the', 'main', 'benefit', '.']","['alight', 'brilliant', 'capable', 'clear', 'clever', 'colourful', 'deep', 'gifted', 'gleam', 'good', 'great', 'hopeful', 'intelligent', 'light', 'luminous', 'motivated', 'optimisitc', 'positive', 'promising', 'sharp', 'shining', 'skilled', 'smart', 'talented', 'vibrant', 'vivid']",22,bright,a,"['luminous', 'well-lit', 'clear', 'light']","[2.0, 1.0, 1.0, 1.0]"
"['The', 'roses', 'have', 'grown', 'out', 'of', 'control', ',', 'wild', 'and', 'carefree', ',', 'their', 'bright', 'blooming', 'faces', 'turned', 'to', 'bathe', 'in', 'the', 'early', 'autumn', 'sun', '.']","['alight', 'brilliant', 'capable', 'clear', 'clever', 'colourful', 'deep', 'gifted', 'gleam', 'good', 'great', 'hopeful', 'intelligent', 'light', 'luminous', 'motivated', 'optimisitc', 'positive', 'promising', 'sharp', 'shining', 'skilled', 'smart', 'talented', 'vibrant', 'vivid']",13,bright,a,"['colourful', 'brilliant', 'gleam', 'luminous']","[2.0, 1.0, 1.0, 1.0]"
"['He', 'was', 'bright', 'and', 'independent', 'and', 'proud', '.']","['alight', 'brilliant', 'capable', 'clear', 'clever', 'colourful', 'deep', 'gifted', 'gleam', 'good', 'great', 'hopeful', 'intelligent', 'light', 'luminous', 'motivated', 'optimisitc', 'positive', 'promising', 'sharp', 'shining', 'skilled', 'smart', 'talented', 'vibrant', 'vivid']",2,bright,a,"['intelligent', 'clever']","[3.0, 3.0]"
"['In', 'fact', ',', 'during', 'at', 'least', 'six', 'distinct', 'periods', 'in', 'Army', 'history', 'since', 'World', 'War', 'I', ',', 'lack', 'of', 'trust', 'and', 'confidence', 'in', 'senior', 'leaders', 'caused', 'the', 'so-called', 'best', 'and', 'brightest', 'to', 'leave', 'the', 'Army', 'in', 'droves', '.']","['alight', 'brilliant', 'capable', 'clear', 'clever', 'colourful', 'deep', 'gifted', 'gleam', 'good', 'great', 'hopeful', 'intelligent', 'light', 'luminous', 'motivated', 'optimisitc', 'positive', 'promising', 'sharp', 'shining', 'skilled', 'smart', 'talented', 'vibrant', 'vivid']",30,bright,a,"['intelligent', 'clever', 'most able', 'capable', 'promising', 'sharp', 'motivated']","[3.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
"['An', 'evening', 'of', 'classical', 'symphonic', 'music', ',', 'played', 'by', 'the', 'next', 'generation', 'stars', 'in', 'the', 'American', 'orchestral', 'scene', ',', 'can', 'be', 'savored', 'at', 'the', 'New', 'World', 'Symphony', ',', 'a', 'special', 'Miami', 'institution', 'that', 'nurtures', 'the', 'best', 'and', 'brightest', 'young', 'symphonic', 'musicians', '.']","['alight', 'brilliant', 'capable', 'clear', 'clever', 'colourful', 'deep', 'gifted', 'gleam', 'good', 'great', 'hopeful', 'intelligent', 'light', 'luminous', 'motivated', 'optimisitc', 'positive', 'promising', 'sharp', 'shining', 'skilled', 'smart', 'talented', 'vibrant', 'vivid']",37,bright,a,"['talented', 'up-and-coming', 'gifted', 'promising', 'most talented', 'skilled']","[3.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
"['There', 'are', 'sound', 'reasons', 'for', 'concluding', 'that', 'the', 'long-run', 'picture', 'remains', 'bright', ',', 'and', 'even', 'recent', 'signals', 'about', 'the', 'current', 'course', 'of', 'the', 'economy', 'have', 'turned', 'from', 'unremittingly', 'negative', 'through', 'the', 'late', 'fall', 'of', 'last', 'year', 'to', 'a', 'far', 'more', 'mixed', 'set', 'of', 'signals', 'recently', '.']","['alight', 'brilliant', 'capable', 'clear', 'clever', 'colourful', 'deep', 'gifted', 'gleam', 'good', 'great', 'hopeful', 'intelligent', 'light', 'luminous', 'motivated', 'optimisitc', 'positive', 'promising', 'sharp', 'shining', 'skilled', 'smart', 'talented', 'vibrant', 'vivid']",11,bright,a,"['positive', 'promising', 'good', 'optimisitc', 'hopeful']","[3.0, 2.0, 1.0, 1.0, 1.0]"
"['Snow', 'covered', 'areas', 'appear', 'bright', 'blue', 'in', 'the', 'image', 'which', 'was', 'taken', 'in', 'early', 'spring', 'and', 'shows', 'deep', 'snow', 'cover', '.']","['alight', 'brilliant', 'capable', 'clear', 'clever', 'colourful', 'deep', 'gifted', 'gleam', 'good', 'great', 'hopeful', 'intelligent', 'light', 'luminous', 'motivated', 'optimisitc', 'positive', 'promising', 'sharp', 'shining', 'skilled', 'smart', 'talented', 'vibrant', 'vivid']",4,bright,a,"['shining', 'deep', 'vivid', 'luminous', 'vibrant']","[2.0, 1.0, 1.0, 1.0, 1.0]"
"['She', 'turns', 'eyes', 'bright', 'with', 'excitement', 'towards', 'Fiona', ',', 'still', 'tugging', 'on', 'the', 'string', 'of', 'the', 'minitiature', 'airship-cum-dance', 'card', 'she', 'has', 'just', 'received', 'at', 'the', 'door', '.']","['alight', 'brilliant', 'capable', 'clear', 'clever', 'colourful', 'deep', 'gifted', 'gleam', 'good', 'great', 'hopeful', 'intelligent', 'light', 'luminous', 'motivated', 'optimisitc', 'positive', 'promising', 'sharp', 'shining', 'skilled', 'smart', 'talented', 'vibrant', 'vivid']",3,bright,a,"['shining', 'alight']","[4.0, 1.0]"
"['A', 'short', 'excerpt', ':', 'I', 'was', 'praying', 'in', 'private', 'until', 'someone', 'got', 'the', 'bright', 'idea', 'of', 'starting', 'a', 'Presidential', 'Prayer', 'Team', '.']","['alight', 'brilliant', 'capable', 'clear', 'clever', 'colourful', 'deep', 'gifted', 'gleam', 'good', 'great', 'hopeful', 'intelligent', 'light', 'luminous', 'motivated', 'optimisitc', 'positive', 'promising', 'sharp', 'shining', 'skilled', 'smart', 'talented', 'vibrant', 'vivid']",13,bright,a,"['smart', 'intelligent', 'brilliant', 'great', 'clever']","[2.0, 1.0, 1.0, 1.0, 1.0]"
"['So', ',', 'unlike', 'studio', 'films', ',', 'independent', 'films', 'cannot', 'be', 'conceptually', 'geared', 'to', 'a', 'marketing', 'campaign', ',', 'or', 'used', 'to', 'recruit', 'merchandising', 'tie-ins', '.']","['documentary', 'movie', 'picture', 'production']",7,film,n,"['movie', 'picture', 'production']","[4.0, 4.0, 1.0]"
"['The', 'packed', 'screening', 'of', 'about', '100', 'high-level', 'press', 'people', 'loved', 'the', 'film', 'as', 'well', '.']","['documentary', 'movie', 'picture', 'production']",11,film,n,"['movie', 'picture']","[5.0, 3.0]"
"['I', 'think', 'most', 'filmmakers', 'for', 'the', 'most', 'part', 'right', 'now', 'they', ""'re"", 'thinking', 'about', 'the', 'DVD', 'when', 'they', 'go', 'in', 'to', 'production', 'because', 'the', 'reality', 'is', 'DVD', 'is', 'where', 'the', 'great', 'majority', 'of', 'your', 'audience', 'is', 'going', 'to', 'experience', 'the', 'film', '.']","['documentary', 'movie', 'picture', 'production']",40,film,n,"['movie', 'picture']","[5.0, 3.0]"
"['Dune', 'makes', 'the', 'second', 'Lynch', 'film', 'to', 'be', 'released', 'in', 'a', 'consumer', 'HD', 'format', '(', 'Mulholland', 'Drive', 'on', 'D-VHS', 'being', 'the', 'first', ')', '.']","['documentary', 'movie', 'picture', 'production']",5,film,n,"['movie', 'picture']","[5.0, 4.0]"
"['Film', 'Music', 'Literature', 'Cyberplace', '-', 'Includes', 'film', 'reviews', ',', 'message', 'boards', ',', 'chat', 'room', ',', 'and', 'images', 'from', 'various', 'films', '.']","['documentary', 'movie', 'picture', 'production']",6,film,n,"['movie', 'picture']","[5.0, 2.0]"
"['His', 'feature', 'film', 'debut', 'HEROES', '/', 'DE', 'ST脙RSTE', 'HELTE', '(', '1996', ')', 'won', 'awards', 'at', 'Rouen', 'and', 'Madrid', '.']","['documentary', 'movie', 'picture', 'production']",2,film,n,"['movie', 'picture']","[4.0, 2.0]"
"['(', 'Some', 'people', 'keep', 'their', 'TVs', 'on', 'for', 'company.', ')', 'In', 'Malta', ',', 'news', 'is', 'the', 'main', 'reason', 'we', 'turn', 'to', 'TV', ',', 'followed', 'by', 'films', ',', 'talk', 'shows', ',', 'documentaries', ',', 'serials', ',', 'and', 'music', ',', 'in', 'that', 'order', '.']","['documentary', 'movie', 'picture', 'production']",25,film,n,"['movie', 'picture']","[4.0, 2.0]"
"['The', 'film', 'shows', 'Afghan', 'mercenaries', 'to', 'be', 'involved', 'with', 'the', 'separatists', ',', 'suggesting', 'that', 'the', 'present', 'struggle', 'in', 'Kashmir', 'has', 'been', 'hijacked', 'by', 'foreign', 'extremists', ',', 'who', 'are', 'shown', 'discussing', 'the', 'loss', 'of', 'Bangladesh', 'in', 'the', '1971', 'war', ',', 'providing', 'it', 'as', 'a', 'justification', 'for', 'their', 'present', 'acts', 'of', 'revenge', '.']","['documentary', 'movie', 'picture', 'production']",1,film,n,"['documentary', 'movie', 'picture']","[3.0, 3.0, 1.0]"
"['A', 'fine', 'score', 'by', 'George', 'Fenton', '(', 'THE', 'CRUCIBLE', ')', 'and', 'beautiful', 'photograhy', 'by', 'Roger', 'Pratt', 'add', 'greatly', 'to', 'the', 'effectiveness', 'of', 'the', 'film', '.']","['documentary', 'movie', 'picture', 'production']",23,film,n,"['movie', 'picture']","[5.0, 3.0]"
"['The', 'success', 'of', 'Autry', ""'"", 's', 'early', 'films', 'was', 'not', 'enough', 'to', 'save', 'Mascot', 'Pictures', ',', 'which', 'collapsed', 'under', 'the', 'weight', 'of', 'debts', 'held', 'by', 'Consolidated', 'Film', 'Laboratories', ',', 'which', 'did', 'Mascot', ""'s"", 'film', 'processing', '.']","['documentary', 'movie', 'picture', 'production']",7,film,n,"['movie', 'picture', 'production']","[5.0, 3.0, 1.0]"
